None,indicator_id,region_id,date,value
0,SSSM,845167,2023-08-31,134667.0
1,SSSM,845167,2023-07-31,134000.0
2,SSSM,845167,2023-06-30,140167.0
3,SSSM,845167,2023-05-31,138000.0
4,SSSM,845167,2023-04-30,136333.0
5,SSSM,845167,2023-03-31,131833.0
6,SSSM,845167,2023-02-28,130667.0
7,SSSM,845167,2023-01-31,131833.0
8,SSSM,845167,2022-12-31,130000.0
9,SSSM,845167,2022-11-30,126667.0
10,SSSM,845167,2022-10-31,129417.0
11,SSSM,845167,2022-09-30,135817.0
12,SSSM,845167,2022-08-31,140733.0
13,SSSM,845167,2022-07-31,141150.0
14,SSSM,845167,2022-06-30,133583.0
15,SSSM,845167,2022-05-31,130333.0
16,SSSM,845167,2022-04-30,125333.0
17,SSSM,845167,2022-03-31,132417.0
18,SSSM,845167,2022-02-28,131900.0
19,SSSM,845167,2022-01-31,133567.0
20,SSSM,845167,2021-12-31,128567.0
21,SSSM,845167,2021-11-30,130750.0
22,SSSM,845167,2021-10-31,134083.0
23,SSSM,845167,2021-09-30,131667.0
24,SSSM,845167,2021-08-31,128667.0
25,SSSM,845167,2021-07-31,122063.0
26,SSSM,845167,2021-06-30,123396.0
27,SSSM,845167,2021-05-31,124729.0
28,SSSM,845167,2021-04-30,124667.0
29,SSSM,845167,2021-03-31,121633.0
30,SSSM,845167,2021-02-28,119633.0
31,SSSM,845167,2021-01-31,121300.0
32,SSSM,845167,2020-12-31,125167.0
33,SSSM,845167,2020-11-30,124833.0
34,SSSM,845167,2020-10-31,126500.0
35,SSSM,845167,2020-09-30,126000.0
36,SSSM,845167,2020-08-31,126667.0
37,SSSM,845167,2020-07-31,127333.0
38,SSSM,845167,2020-06-30,124667.0
39,SSSM,845167,2020-05-31,122667.0
40,SSSM,845167,2020-04-30,121333.0
41,SSSM,845167,2020-03-31,115500.0
42,SSSM,845167,2020-02-29,120000.0
43,SSSM,845167,2020-01-31,115000.0
44,SSSM,845167,2019-12-31,117500.0
45,SSSM,845167,2019-11-30,113333.0
46,SSSM,845167,2019-10-31,108667.0
47,SSSM,845167,2019-09-30,112000.0
48,SSSM,845167,2019-08-31,115333.0
49,SSSM,845167,2019-07-31,122417.0
50,SSSM,845167,2019-06-30,118417.0
51,SSSM,845167,2019-05-31,115250.0
52,SSSM,845167,2019-04-30,106167.0
53,SSSM,845167,2019-03-31,102833.0
54,SSSM,845167,2019-02-28,96833.0
55,SSSM,845167,2019-01-31,102500.0
56,SSSM,845167,2018-12-31,102500.0
57,SSSM,845167,2018-11-30,111250.0
58,SSSM,845167,2018-10-31,113750.0
59,SSSM,845167,2018-09-30,121333.0
60,SSSM,845167,2018-08-31,120083.0
61,SSSM,845167,2018-07-31,118917.0
62,SSSM,845167,2018-06-30,114250.0
63,SSSM,845167,2018-05-31,106833.0
64,SSSM,845167,2018-04-30,105167.0
65,SSSM,845167,2018-03-31,98917.0
66,SSSM,845167,2018-02-28,98000.0
67,SSSM,845167,2018-01-31,94417.0
68,SSSM,845167,2017-12-31,96000.0
69,SSSM,845167,2017-11-30,99167.0
70,SSSM,845167,2017-10-31,103083.0
71,SSSM,845167,2017-09-30,108500.0
72,SSSM,845167,2017-08-31,112000.0
73,SSSM,845167,2017-07-31,109667.0
74,SSSM,845167,2017-06-30,107667.0
75,SSSM,845167,2017-05-31,101500.0
76,SSSM,845167,2017-04-30,98500.0
77,SSSM,845167,2017-03-31,94333.0
78,SSSM,845167,2017-02-28,103167.0
79,SSSM,845167,2017-01-31,102000.0
80,SSSM,845167,2016-12-31,107833.0
81,SSSM,845167,2016-11-30,103833.0
82,SSSM,845167,2016-10-31,110667.0
83,SSSM,845167,2016-09-30,110667.0
84,SSSM,845167,2016-08-31,110667.0
85,SSSM,845167,2016-07-31,109333.0
86,SSSM,845167,2016-06-30,104000.0
87,SSSM,845167,2016-05-31,97000.0
88,SSSM,845167,2016-04-30,88000.0
89,SSSM,845167,2016-03-31,81333.0
90,SSSM,845167,2016-02-29,82250.0
91,SSSM,845167,2016-01-31,83333.0
92,SSSM,845167,2015-12-31,89667.0
93,SSSM,845167,2015-11-30,90917.0
94,SSSM,845167,2015-10-31,101500.0
95,SSSM,845167,2015-09-30,105500.0
96,SSSM,845167,2015-08-31,111083.0
97,SSSM,845167,2015-07-31,103083.0
98,SSSM,845167,2015-06-30,97083.0
99,SSSM,845167,2015-05-31,88667.0
100,SSSM,845167,2015-04-30,82333.0
101,SSSM,845167,2015-03-31,80250.0
102,SSSM,845167,2015-02-28,76417.0
103,SSSM,845167,2015-01-31,77833.0
104,SSSM,845167,2014-12-31,78250.0
105,SSSM,845167,2014-11-30,83417.0
106,SSSM,845167,2014-10-31,91000.0
107,SSSM,845167,2014-09-30,95333.0
108,SSSM,845167,2014-08-31,103333.0
109,SSSM,845167,2014-07-31,100167.0
110,SSSM,845167,2014-06-30,101250.0
111,SSSM,845167,2014-05-31,87750.0
112,SSSM,845167,2014-04-30,85208.0
113,SSSM,845167,2014-03-31,81292.0
114,SSSM,845167,2014-02-28,82125.0
115,SSSM,845167,2014-01-31,79833.0
116,SSSM,845167,2013-12-31,76167.0
117,SSSM,845167,2013-11-30,80167.0
118,SSSM,845167,2013-10-31,89738.0
119,SSSM,845167,2013-09-30,99571.0
120,SSSM,845167,2013-08-31,98571.0
121,SSSM,845167,2013-07-31,93967.0
122,SSSM,845167,2013-06-30,88767.0
123,SSSM,845167,2013-05-31,89267.0
124,SSSM,845167,2013-04-30,87967.0
125,SSSM,845167,2013-03-31,85583.0
126,SSSM,845167,2013-02-28,83917.0
127,SSSM,845167,2013-01-31,90917.0
128,SSSM,845167,2012-12-31,92167.0
129,SSSM,845167,2012-11-30,101900.0
130,SSSM,845167,2012-10-31,94900.0
131,SSSM,845167,2012-09-30,95400.0
132,SSSM,845167,2012-08-31,92192.0
133,SSSM,845167,2012-07-31,95858.0
134,SSSM,845167,2012-06-30,98358.0
135,SSSM,845167,2012-05-31,92000.0
136,SSSM,845167,2012-04-30,86333.0
137,SSSM,845167,2012-03-31,83000.0
138,SSSM,845167,2012-02-29,80333.0
139,SSSM,845167,2012-01-31,77766.0
140,SSSM,845167,2011-12-31,75416.0
141,SSSM,845167,2011-11-30,75916.0
142,SSSM,845167,2011-10-31,80567.0
143,SSSM,845167,2011-09-30,81583.0
144,SSSM,845167,2011-08-31,86667.0
145,SSSM,845167,2011-07-31,87233.0
146,SSSM,845167,2011-06-30,86900.0
147,SSSM,845167,2011-05-31,80983.0
148,SSSM,845167,2011-04-30,78333.0
149,SSSM,845167,2011-03-31,78000.0
150,SSSM,845167,2011-02-28,83833.0
151,SSSM,845167,2011-01-31,86333.0
152,SSSM,845167,2010-12-31,88083.0
153,SSSM,845167,2010-11-30,87917.0
154,SSSM,845167,2010-10-31,88250.0
155,SSSM,845167,2010-09-30,92667.0
156,SSSM,845167,2010-08-31,93333.0
157,SSSM,845167,2010-07-31,96367.0
158,SSSM,845167,2010-06-30,94867.0
159,SSSM,845167,2010-05-31,100367.0
160,SSSM,845167,2010-04-30,98067.0
161,SSSM,845167,2010-03-31,103650.0
162,SSSM,845167,2010-02-28,96650.0
163,SSSM,845167,2010-01-31,98917.0
164,SSSM,845167,2009-12-31,94000.0
165,SSSM,845167,2009-11-30,93733.0
166,SSSM,845167,2009-10-31,89567.0
167,SSSM,845167,2009-09-30,87067.0
168,SSSM,845167,2009-08-31,87483.0
169,SSSM,845167,2009-07-31,89650.0
170,SSSM,845167,2009-06-30,92817.0
171,SSSM,845167,2009-05-31,91167.0
172,SSSM,845167,2009-04-30,85333.0
173,SSSM,845167,2009-03-31,82000.0
174,SSSM,845167,2009-02-28,90333.0
175,SSSM,845167,2009-01-31,96667.0
176,SSSM,845167,2008-12-31,96000.0
177,SSSM,845167,2008-11-30,88500.0
178,SSSM,845167,2008-10-31,90750.0
179,SSSM,845167,2008-09-30,97417.0
180,SSSM,845167,2008-08-31,103750.0
181,SSSM,845167,2008-07-31,102417.0
182,SSSM,845167,2008-06-30,104083.0
183,SSSM,845167,2008-05-31,103167.0
184,SSSM,845167,2008-04-30,101917.0
185,SSSM,845164,2023-08-31,381333.0
186,SSSM,845164,2023-07-31,378333.0
187,SSSM,845164,2023-06-30,348667.0
188,SSSM,845164,2023-05-31,333667.0
189,SSSM,845164,2023-04-30,312333.0
190,SSSM,845164,2023-03-31,330667.0
191,SSSM,845164,2023-02-28,314933.0
192,SSSM,845164,2023-01-31,319267.0
193,SSSM,845164,2022-12-31,302433.0
194,SSSM,845164,2022-11-30,318167.0
195,SSSM,845164,2022-10-31,323167.0
196,SSSM,845164,2022-09-30,335667.0
197,SSSM,845164,2022-08-31,338333.0
198,SSSM,845164,2022-07-31,341667.0
199,SSSM,845164,2022-06-30,334333.0
200,SSSM,845164,2022-05-31,310333.0
201,SSSM,845164,2022-04-30,291978.0
202,SSSM,845164,2022-03-31,285300.0
203,SSSM,845164,2022-02-28,295467.0
204,SSSM,845164,2022-01-31,291000.0
205,SSSM,845164,2021-12-31,283011.0
206,SSSM,845164,2021-11-30,284178.0
207,SSSM,845164,2021-10-31,297167.0
208,SSSM,845164,2021-09-30,298500.0
209,SSSM,845164,2021-08-31,298833.0
210,SSSM,845164,2021-07-31,282667.0
211,SSSM,845164,2021-06-30,279667.0
212,SSSM,845164,2021-05-31,264000.0
213,SSSM,845164,2021-04-30,264044.0
214,SSSM,845164,2021-03-31,251044.0
215,SSSM,845164,2021-02-28,258378.0
216,SSSM,845164,2021-01-31,256750.0
217,SSSM,845164,2020-12-31,266083.0
218,SSSM,845164,2020-11-30,266583.0
219,SSSM,845164,2020-10-31,275500.0
220,SSSM,845164,2020-09-30,266833.0
221,SSSM,845164,2020-08-31,261000.0
222,SSSM,845164,2020-07-31,248000.0
223,SSSM,845164,2020-06-30,243167.0
224,SSSM,845164,2020-05-31,229833.0
225,SSSM,845164,2020-04-30,217500.0
226,SSSM,845164,2020-03-31,204300.0
227,SSSM,845164,2020-02-29,210967.0
228,SSSM,845164,2020-01-31,209967.0
229,SSSM,845164,2019-12-31,216000.0
230,SSSM,845164,2019-11-30,209333.0
231,SSSM,845164,2019-10-31,213667.0
232,SSSM,845164,2019-09-30,216000.0
233,SSSM,845164,2019-08-31,211200.0
234,SSSM,845164,2019-07-31,215450.0
235,SSSM,845164,2019-06-30,217117.0
236,SSSM,845164,2019-05-31,218583.0
237,SSSM,845164,2019-04-30,205667.0
238,SSSM,845164,2019-03-31,195667.0
239,SSSM,845164,2019-02-28,194333.0
240,SSSM,845164,2019-01-31,205000.0
