Time Series Search Export,Search term,Search filters,,Last update of Property price statistics data,Downloaded at,Source,Source URL,Download URL,About Property price statistics
,,TOPIC:Topic,RPP:Property prices / Property price statistics,2023-09-28,2023-10-16 11:20 CEST,BIS,https://data.bis.org/topics/RPP/data?data_view=table&filter=TIMESPAN%3D2010-01-01_2023-06-30%255EREF_AREA_TXT%3DAustralia%257CUnited%2520States%255EVALUE%3DR%255EUNIT_MEASURE%3D628,https://data.bis.org/export/0951fa036275aeee985952c77ce3c99e,https://data.bis.org/topics/RPP
,,REF_AREA_TXT:Reference area,"AU:Australia,US:United States",,,,,,
,,TIMESPAN:Timespan,2010-01-01_2023-06-30,,,,,,
,,UNIT_MEASURE:Unit of measure,"628:Index, 2010 = 100",,,,,,
,,VALUE:Value,R:Real,,,,,,

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,VALUE:Value,UNIT_MEASURE:Unit,TIME_PERIOD:Period,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30
"BIS,WS_SPP,1.0",Q.AU.R.628,Q:Quarterly,AU:Australia,R:Real,"628:Index, 2010 = 100",,99.9682,101.2842,99.2963,99.4624,97.1941,95.6559,93.4029,92.6571,93.1231,93.03,91.5678,93.3948,93.666,95.6544,96.8764,99.954,100.7972,102.2539,102.9975,104.8988,106.3573,110.5975,112.3251,112.0823,112.1175,113.9318,114.7994,118.9093,120.9811,123.1156,122.0914,122.4909,121.1208,119.8688,117.5375,114.1473,110.7228,109.2373,111.3297,114.8865,116.3274,116.4502,115.5269,118.0338,123.6455,130.9311,136.4751,141.0406,141.9404,140.8008,133.8846,126.6149,122.4054
"BIS,WS_SPP,1.0",Q.US.R.628,Q:Quarterly,US:United States,R:Real,"628:Index, 2010 = 100",,101.5417,101.3717,99.1148,97.9877,95.107,93.9942,93.986,94.0373,94.122,95.7624,97.4529,99.5462,101.4708,103.5275,105.7225,108.08,108.6619,108.0911,109.4017,111.9826,114.0104,113.9663,115.2859,117.5019,118.8551,118.8013,120.063,121.6771,122.3348,123.4097,124.7998,126.3156,127.1635,127.3142,128.1373,129.3282,129.8613,129.5894,130.7582,132.4256,133.7104,135.4988,138.3902,143.237,146.2106,149.8381,153.9822,157.7167,161.596,161.7122,158.1889,157.5075,157.702,157.8759
