None,indicator_id,region_id,date,value
0,SRSM,845167,2023-08-31,134000.0
1,SRSM,845167,2023-07-31,130000.0
2,SRSM,845167,2023-06-30,140000.0
3,SRSM,845167,2023-05-31,132000.0
4,SRSM,845167,2023-04-30,148500.0
5,SRSM,845167,2023-03-31,133500.0
6,SRSM,845167,2023-02-28,127000.0
7,SRSM,845167,2023-01-31,135000.0
8,SRSM,845167,2022-12-31,130000.0
9,SRSM,845167,2022-11-30,130500.0
10,SRSM,845167,2022-10-31,129500.0
11,SRSM,845167,2022-09-30,120000.0
12,SRSM,845167,2022-08-31,138750.0
13,SRSM,845167,2022-07-31,148700.0
14,SRSM,845167,2022-06-30,134750.0
15,SRSM,845167,2022-05-31,140000.0
16,SRSM,845167,2022-04-30,126000.0
17,SRSM,845167,2022-03-31,125000.0
18,SRSM,845167,2022-02-28,125000.0
19,SRSM,845167,2022-01-31,147250.0
20,SRSM,845167,2021-12-31,123450.0
21,SRSM,845167,2021-11-30,130000.0
22,SRSM,845167,2021-10-31,132250.0
23,SRSM,845167,2021-09-30,130000.0
24,SRSM,845167,2021-08-31,140000.0
25,SRSM,845167,2021-07-31,125000.0
26,SRSM,845167,2021-06-30,121000.0
27,SRSM,845167,2021-05-31,120188.0
28,SRSM,845167,2021-04-30,129000.0
29,SRSM,845167,2021-03-31,125000.0
30,SRSM,845167,2021-02-28,120000.0
31,SRSM,845167,2021-01-31,119900.0
32,SRSM,845167,2020-12-31,119000.0
33,SRSM,845167,2020-11-30,125000.0
34,SRSM,845167,2020-10-31,131500.0
35,SRSM,845167,2020-09-30,118000.0
36,SRSM,845167,2020-08-31,130000.0
37,SRSM,845167,2020-07-31,130000.0
38,SRSM,845167,2020-06-30,120000.0
39,SRSM,845167,2020-05-31,132000.0
40,SRSM,845167,2020-04-30,122000.0
41,SRSM,845167,2020-03-31,114000.0
42,SRSM,845167,2020-02-29,128000.0
43,SRSM,845167,2020-01-31,104500.0
44,SRSM,845167,2019-12-31,127500.0
45,SRSM,845167,2019-11-30,113000.0
46,SRSM,845167,2019-10-31,112000.0
47,SRSM,845167,2019-09-30,115000.0
48,SRSM,845167,2019-08-31,99000.0
49,SRSM,845167,2019-07-31,122000.0
50,SRSM,845167,2019-06-30,125000.0
51,SRSM,845167,2019-05-31,120250.0
52,SRSM,845167,2019-04-30,110000.0
53,SRSM,845167,2019-03-31,115500.0
54,SRSM,845167,2019-02-28,93000.0
55,SRSM,845167,2019-01-31,100000.0
56,SRSM,845167,2018-12-31,97500.0
57,SRSM,845167,2018-11-30,110000.0
58,SRSM,845167,2018-10-31,100000.0
59,SRSM,845167,2018-09-30,123750.0
60,SRSM,845167,2018-08-31,117500.0
61,SRSM,845167,2018-07-31,122750.0
62,SRSM,845167,2018-06-30,120000.0
63,SRSM,845167,2018-05-31,114000.0
64,SRSM,845167,2018-04-30,108750.0
65,SRSM,845167,2018-03-31,97750.0
66,SRSM,845167,2018-02-28,109000.0
67,SRSM,845167,2018-01-31,90000.0
68,SRSM,845167,2017-12-31,95000.0
69,SRSM,845167,2017-11-30,98250.0
70,SRSM,845167,2017-10-31,94750.0
71,SRSM,845167,2017-09-30,104500.0
72,SRSM,845167,2017-08-31,110000.0
73,SRSM,845167,2017-07-31,111000.0
74,SRSM,845167,2017-06-30,115000.0
75,SRSM,845167,2017-05-31,103000.0
76,SRSM,845167,2017-04-30,105000.0
77,SRSM,845167,2017-03-31,96500.0
78,SRSM,845167,2017-02-28,94000.0
79,SRSM,845167,2017-01-31,92500.0
80,SRSM,845167,2016-12-31,123000.0
81,SRSM,845167,2016-11-30,90500.0
82,SRSM,845167,2016-10-31,110000.0
83,SRSM,845167,2016-09-30,111000.0
84,SRSM,845167,2016-08-31,111000.0
85,SRSM,845167,2016-07-31,110000.0
86,SRSM,845167,2016-06-30,111000.0
87,SRSM,845167,2016-05-31,107000.0
88,SRSM,845167,2016-04-30,94000.0
89,SRSM,845167,2016-03-31,90000.0
90,SRSM,845167,2016-02-29,80000.0
91,SRSM,845167,2016-01-31,74000.0
92,SRSM,845167,2015-12-31,92750.0
93,SRSM,845167,2015-11-30,83250.0
94,SRSM,845167,2015-10-31,93000.0
95,SRSM,845167,2015-09-30,96500.0
96,SRSM,845167,2015-08-31,115000.0
97,SRSM,845167,2015-07-31,105000.0
98,SRSM,845167,2015-06-30,113250.0
99,SRSM,845167,2015-05-31,91000.0
100,SRSM,845167,2015-04-30,87000.0
101,SRSM,845167,2015-03-31,88000.0
102,SRSM,845167,2015-02-28,72000.0
103,SRSM,845167,2015-01-31,80750.0
104,SRSM,845167,2014-12-31,76500.0
105,SRSM,845167,2014-11-30,76250.0
106,SRSM,845167,2014-10-31,82000.0
107,SRSM,845167,2014-09-30,92000.0
108,SRSM,845167,2014-08-31,99000.0
109,SRSM,845167,2014-07-31,95000.0
